systemTime,ipAddress,symmetric,willingness,isMultiPointRelay,wasMultiPointRelay,multiPointRelaySelector,linkcount,twoHopNeighborCount,currentLinkStatus,lostLinkTime,helloTime,lossHelloInterval,lossTime,linkCost,linkQuality,neighborLinkQuality1,uplinkKbps,downlinkKbps,RSSI value,AVG RSSI value,trend,tau,Connected
1711549435,192.168.11.56,TRUE,3,TRUE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,2799,1.141602,1,1,128,1024,-32,-35,0,0,1
1711549437,192.168.11.56,TRUE,3,TRUE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,2498,1.137695,1,1,128,1024,-42,-38,0,0,1
1711549439,192.168.11.56,TRUE,3,TRUE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,2099,1.133789,1,1,128,1024,-45,-41,0,0.028571,1
1711549441,192.168.11.56,TRUE,3,TRUE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,1496,1.129883,1,1,128,1024,-47,-42,0,0.038095,1
1711549443,192.168.11.56,TRUE,3,TRUE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,1244,1.125977,1,1,128,1024,-43,-45,0,0.038095,1
1711549445,192.168.11.56,TRUE,3,TRUE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,1698,1.12207,1,1,128,1024,-54,-51,0,0.247619,1
1711549447,192.168.11.56,TRUE,3,TRUE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,2547,1.118164,1,1,128,1024,-58,-50,0,0.409524,1
1711549449,192.168.11.56,TRUE,3,TRUE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,2547,1.114258,1,1,128,1024,-60,-52,0,0.561905,1
1711549451,192.168.11.56,TRUE,3,TRUE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,1196,11.390625,1,1,128,1024,-59,-55,1,0.685714,1
1711549453,192.168.11.56,TRUE,3,TRUE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,2348,11.996094,1,1,128,1024,-60,-55,1,0.761905,1
1711549455,192.168.11.56,TRUE,3,TRUE,FALSE,FALSE,1,0,SYMMETRIC,0,0,2000,2100,12.386719,1,1,128,1024,-60,-56,1,0.809524,1
1711549457,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2550,11.996094,1,1,128,1024,-53,-57,1,0.828571,1
1711549459,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1696,11.996094,1,1,128,1024,-52,-55,1,0.828571,1
1711549461,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1398,12.582031,1,1,128,1024,-53,-57,1,0.790476,1
1711549463,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1848,12.386719,1,1,128,1024,-60,-61,1,0.752381,1
1711549465,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1647,12.796875,1,1,128,1024,-57,-60,1,0.752381,1
1711549467,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1395,13.382812,1,1,128,1024,-63,-62,1,0.742857,1
1711549469,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1697,13.1875,1,1,128,1024,-60,-63,1,0.733333,1
1711549471,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2448,13.382812,1,1,128,1024,-59,-61,1,0.714286,1
1711549473,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2298,13.1875,1,1,128,1024,-56,-60,1,0.666667,1
1711549475,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2900,12.796875,1,1,128,1024,-51,-58,1,0.666667,1
1711549477,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1949,12.582031,1,1,128,1024,-58,-58,1,0.6,1
1711549479,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1748,12.796875,1,1,128,1024,-61,-59,1,0.485714,1
1711549481,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2047,12.796875,1,1,128,1024,-60,-60,1,0.333333,1
1711549483,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,3000,12.796875,1,1,128,1024,-59,-59,1,0.190476,1
1711549485,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2748,13.1875,1,1,128,1024,-61,-61,1,0,1
1711549487,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1394,12.944336,1,1,128,1024,-62,-60,0,0.019048,0.8
1711549489,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2448,12.705078,1,1,128,1024,-63,-60,0,0,0.8
1711549491,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2397,12.47168,1,1,128,1024,-66,-65,0,0,1
1711549493,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2749,12.242188,1,1,128,1024,-56,-64,0,0.133333,1
1711549495,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1848,12.017578,1,1,128,1024,-68,-63,0,0.247619,1
1711549497,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1747,11.797852,1,1,128,1024,-70,-65,0,0.342857,1
1711549499,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2098,11.582031,1,1,128,1024,-67,-68,0,0.419048,1
1711549501,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2950,11.370117,1,1,128,1024,-62,-66,0,0.47619,1
1711549503,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2698,14.59375,1,1,128,1024,-69,-68,1,0.514286,1
1711549505,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1397,14.398438,1,1,128,1024,-70,-67,1,0.533333,1
1711549507,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,3000,14.183594,1,1,128,1024,-68,-65,1,0.504762,1
1711549509,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2799,14.183594,1,1,128,1024,-71,-66,1,0.428571,1
1711549511,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1498,14.59375,1,1,128,1024,-71,-69,1,0.333333,1
1711549513,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2147,14.789062,1,1,128,1024,-69,-69,1,0.247619,1
1711549515,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,3000,14.984375,1,1,128,1024,-69,-71,1,0.190476,1
1711549517,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1749,14.705078,1,1,128,1024,-69,-71,0,0.314286,1
1711549519,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,796,14.431641,1,1,128,1024,-72,-71,0,0.419048,1
1711549521,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,3000,14.163086,1,1,128,1024,-74,-72,0,0.514286,1
1711549523,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1746,15.62207,1,0.968,128,1024,-71,-74,1,0.590476,1
1711549525,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1798,15.817383,1,0.968,128,1024,-72,-73,1,0.609524,1
1711549527,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2348,16.032227,1,0.968,128,1024,-79,-75,1,0.590476,1
1711549529,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2098,15.62207,1,0.968,128,1024,-70,-74,1,0.571429,1
1711549531,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,997,15.62207,1,0.968,128,1024,-72,-73,1,0.533333,1
1711549533,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1494,15.62207,1,0.968,128,1024,-72,-73,1,0.457143,1
1711549535,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2098,15.426758,1,0.968,128,1024,-77,-74,1,0.333333,1
1711549537,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2247,15.817383,1,0.968,128,1024,-73,-73,1,0.219048,1
1711549539,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,241,16.0625,1,0.94,128,1024,-76,-75,1,0.085714,1
1711549541,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2498,15.763672,0.968,0.94,128,1024,-75,-75,0,0.047619,1
1711549543,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1494,15.470703,0.968,0.94,128,1024,-77,-75,0,0.152381,1
1711549545,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1196,15.183594,0.972,0.94,128,1024,-78,-75,0,0.228571,1
1711549547,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2450,14.902344,0.94,0.94,128,1024,-76,-74,0,0.228571,1
1711549549,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1698,14.626953,0.94,0.94,128,1024,-77,-74,0,0.152381,1
1711549551,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1344,14.358398,0.913,0.94,128,1024,-77,-75,0,0,1
1711549553,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1899,14.094727,0.917,0.944,128,1024,-76,-77,0,0.028571,1
1711549555,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1745,13.835938,0.913,0.968,128,1024,-75,-76,0,0.028571,1
1711549557,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2147,13.582031,0.917,0.968,128,1024,-80,-77,0,0,1
1711549559,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,894,13.333008,0.913,0.968,128,1024,-81,-80,0,0.152381,1
1711549561,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,146,13.089844,0.862,0.968,128,1024,-78,-79,0,0.27619,1
1711549563,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2449,12.852539,0.858,0.968,128,1024,-79,-78,0,0.371429,1
1711549565,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1246,12.621094,0.858,0.94,128,1024,-79,-80,0,0.390476,1
1711549567,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,496,12.394531,0.831,0.94,128,1024,-79,-79,0,0.390476,1
1711549569,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1799,17.357422,0.78,0.94,128,1024,-78,-79,1,0.371429,1
1711549571,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2350,17.142578,0.78,0.94,128,1024,-83,-80,1,0.371429,1
1711549573,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1246,17.310547,0.808,0.94,128,1024,-81,-80,1,0.342857,1
1711549575,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,3000,16.991211,0.804,0.94,128,1024,-79,-80,0,0.285714,1
1711549577,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1799,16.678711,0.769,0.94,128,1024,-83,-81,0,0.228571,1
1711549579,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2450,16.375,0.776,0.913,128,1024,-80,-80,0,0.171429,1
1711549581,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2249,16.076172,0.78,0.913,128,1024,-80,-79,0,0.114286,1
1711549583,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2700,15.783203,0.808,0.854,128,1024,-82,-80,0,0.057143,1
1711549585,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1799,15.49707,0.804,0.854,128,1024,-79,-78,0,0,1
1711549587,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1647,15.216797,0.804,0.854,128,1024,-82,-80,0,0,1
1711549589,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2248,14.942383,0.796,0.854,128,1024,-78,-80,0,0,1
1711549591,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2901,14.672852,0.804,0.858,128,1024,-83,-80,0,0,1
1711549593,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2800,14.408203,0.827,0.854,128,1024,-80,-80,0,0,1
1711549595,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2601,14.27832,0.804,0.827,128,1024,-81,-82,0,0,1
1711549597,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1546,13.896484,0.804,0.854,128,1024,-81,-82,0,0,1
1711549599,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1448,13.647461,0.831,0.858,128,1024,-81,-82,0,0,1
1711549601,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2150,13.524414,0.835,0.858,128,1024,-81,-83,0,0,0.8
1711549603,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,3000,13.160156,0.858,0.886,128,1024,-82,-83,0,0.07619,0.8
1711549605,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2951,12.922852,0.854,0.886,128,1024,-80,-83,0,0.171429,0.8
1711549607,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1749,12.806641,0.854,0.886,128,1024,-84,-84,0,0.190476,0.8
1711549609,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2350,12.463867,0.886,0.882,128,1024,-82,-83,0,0.190476,0.8
1711549611,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1246,12.240234,0.913,0.878,128,1024,-86,-84,0,0.171429,1
1711549613,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,95,12.129883,0.913,0.878,128,1024,-83,-83,0,0.190476,1
1711549615,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1598,11.806641,0.882,0.886,128,1024,-83,-83,0,0.133333,1
1711549617,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2499,11.59668,0.882,0.886,128,1024,-86,-84,0,0,1
1711549619,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1346,11.493164,0.882,0.882,128,1024,-84,-84,0,0,1
1711549621,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,291,11.19043,0.851,0.858,128,1024,-85,-84,0,0,1
1711549623,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,295,10.996094,0.796,0.858,128,1024,-84,-84,0,0,1
1711549625,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2349,10.900391,0.796,0.858,128,1024,-83,-84,0,0,1
1711549627,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2950,10.617188,0.831,0.858,128,1024,-86,-84,0,0,1
1711549629,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,948,10.432617,0.831,0.858,128,1024,-87,-85,0,0,1
1711549631,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1800,10.341797,0.827,0.858,128,1024,-84,-84,0,0,1
1711549633,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2349,10.077148,0.776,0.854,128,1024,-86,-85,0,0,1
1711549635,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2298,9.904297,0.796,0.851,128,1024,-85,-85,0,0,1
1711549637,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2950,9.819336,0.796,0.854,128,1024,-86,-84,0,0,1
1711549639,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1748,9.570312,0.776,0.858,128,1024,-82,-83,0,0,1
1711549641,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1597,9.408203,0.776,0.882,128,1024,-84,-83,0,0,1
1711549643,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2249,9.328125,0.776,0.882,128,1024,-84,-83,0,0,1
1711549645,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1246,9.09375,0.776,0.878,128,1024,-83,-83,0,0,1
1711549647,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1249,8.94043,0.784,0.878,128,1024,-82,-83,0,0,1
1711549649,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1949,8.865234,0.721,0.913,128,1024,-87,-85,0,0,1
1711549651,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2599,8.645508,0.721,0.913,128,1024,-84,-85,0,0,1
1711549653,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,596,8.501953,0.729,0.94,128,1024,-84,-85,0,0,1
1711549655,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2899,8.430664,0.761,0.94,128,1024,-86,-85,0,0,1
1711549657,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,46,8.220703,0.748,0.94,128,1024,-86,-85,0,0,1
1711549659,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,2299,8.084961,0.713,0.94,128,1024,-86,-85,0,0,1
1711549661,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,1196,8.018555,0.713,0.913,128,1024,-87,-85,0,0,1
1711549663,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,296,7.825195,0.701,0.913,128,1024,-87,-85,0,0,1
1711549665,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,295,7.699219,0.662,0.913,128,1024,-87,-85,0,0,1
1711549667,192.168.11.56,TRUE,3,TRUE,TRUE,TRUE,1,0,SYMMETRIC,0,0,2000,298,7.580078,0.604,0.913,128,1024,-87,-85,0,0,1
1711549669,192.168.11.56,FALSE,3,TRUE,TRUE,FALSE,1,0,LOST,0,0,2000,296,7.466797,0.557,0.913,128,1024,-87,-85,0,0,0.2
1711549671,192.168.11.56,FALSE,3,TRUE,TRUE,FALSE,1,0,LOST,0,0,2000,294,7.360352,0.474,0.913,128,1024,-87,-85,0,0,0.2
1711549673,192.168.11.56,FALSE,3,TRUE,TRUE,FALSE,1,0,LOST,0,0,2000,296,7.260742,0.427,0.913,128,1024,-87,-85,0,0,0.2
1711549675,192.168.11.56,FALSE,3,TRUE,TRUE,FALSE,1,0,LOST,0,0,2000,1198,7.211914,0.446,0.913,128,1024,-87,-85,0,0,0.2
1711549677,192.168.11.56,FALSE,3,TRUE,TRUE,FALSE,1,0,LOST,0,0,2000,348,7.09375,0.29,0.913,128,1024,-87,-85,0,0,0
